,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(7, 23)",0,1,0,0,0,0,CHIAPAS,CHAMULA,7,23,V,V,7,CHIAPAS,23,CHAMULA,0,0,0,0,0,1,16.81937471,-92.68017344
"(7, 27)",3,14,1,0,0,3,CHIAPAS,CHIAPA DE CORZO,7,27,V,V,7,CHIAPAS,27,CHIAPA DE CORZO,3,0,0,3,1,14,16.59825528,-92.97065322
"(7, 29)",1,0,0,0,0,1,CHIAPAS,CHICOASÉN,7,29,V,V,7,CHIAPAS,29,CHICOASÉN,1,0,0,1,0,0,16.99533901,-93.11152052
"(7, 30)",1,0,0,0,0,1,CHIAPAS,CHICOMUSELO,7,30,V,V,7,CHIAPAS,30,CHICOMUSELO,1,0,0,1,0,0,15.79906947,-92.39128584
"(7, 31)",0,1,1,0,0,0,CHIAPAS,CHILÓN,7,31,V,V,7,CHIAPAS,31,CHILÓN,0,0,0,0,1,1,17.10973583,-92.03511982
"(7, 34)",1,2,0,0,0,1,CHIAPAS,FRONTERA COMALAPA,7,34,V,V,7,CHIAPAS,34,FRONTERA COMALAPA,1,0,0,1,0,2,15.76268694,-92.08776975
"(7, 35)",0,1,0,0,0,0,CHIAPAS,FRONTERA HIDALGO,7,35,V,V,7,CHIAPAS,35,FRONTERA HIDALGO,0,0,0,0,0,1,14.75001392,-92.2131981
"(7, 37)",0,1,0,0,0,0,CHIAPAS,HUEHUETÁN,7,37,V,V,7,CHIAPAS,37,HUEHUETÁN,0,0,0,0,0,1,15.00941361,-92.42376998
"(7, 40)",1,2,0,0,0,1,CHIAPAS,HUIXTLA,7,40,V,V,7,CHIAPAS,40,HUIXTLA,1,0,0,1,0,2,15.09703661,-92.5468322
"(7, 41)",2,1,0,1,0,1,CHIAPAS,LA INDEPENDENCIA,7,41,V,V,7,CHIAPAS,41,LA INDEPENDENCIA,2,1,0,1,0,1,16.20471182,-91.79580688
"(7, 42)",0,1,0,0,0,0,CHIAPAS,IXHUATÁN,7,42,V,V,7,CHIAPAS,42,IXHUATÁN,0,0,0,0,0,1,17.2985358,-92.97862931
"(7, 48)",0,1,0,0,0,0,CHIAPAS,JUÁREZ,7,48,V,V,7,CHIAPAS,48,JUÁREZ,0,0,0,0,0,1,17.69948407,-93.19333057
"(7, 52)",0,1,0,0,0,0,CHIAPAS,LAS MARGARITAS,7,52,V,V,7,CHIAPAS,52,LAS MARGARITAS,0,0,0,0,0,1,16.38571711,-91.74037318
"(7, 54)",0,1,0,0,0,0,CHIAPAS,MAZATÁN,7,54,V,V,7,CHIAPAS,54,MAZATÁN,0,0,0,0,0,1,14.88062354,-92.49755997
"(7, 55)",0,1,0,0,0,0,CHIAPAS,METAPA,7,55,V,V,7,CHIAPAS,55,METAPA,0,0,0,0,0,1,14.82166505,-92.20159959
"(7, 57)",1,0,0,0,0,1,CHIAPAS,MOTOZINTLA,7,57,V,V,7,CHIAPAS,57,MOTOZINTLA,1,0,0,1,0,0,15.31385328,-92.33146815
"(7, 59)",2,5,4,0,0,2,CHIAPAS,OCOSINGO,7,59,V,V,7,CHIAPAS,59,OCOSINGO,2,0,0,2,4,5,16.70258608,-91.33777492
"(7, 61)",0,5,0,0,0,0,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,7,61,V,V,7,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA,0,0,0,0,0,5,16.82819519,-93.49235722
"(7, 64)",0,1,0,0,0,0,CHIAPAS,OXCHUC,7,64,V,V,7,CHIAPAS,64,OXCHUC,0,0,0,0,0,1,16.78101941,-92.27480108
"(7, 65)",6,31,1,0,0,6,CHIAPAS,PALENQUE,7,65,V,V,7,CHIAPAS,65,PALENQUE,6,0,0,6,1,31,17.44434136,-91.81284191
"(7, 68)",0,4,1,0,0,0,CHIAPAS,PICHUCALCO,7,68,V,V,7,CHIAPAS,68,PICHUCALCO,0,0,0,0,1,4,17.5306182,-93.19914564
"(7, 69)",0,3,1,0,0,0,CHIAPAS,PIJIJIAPAN,7,69,V,V,7,CHIAPAS,69,PIJIJIAPAN,0,0,0,0,1,3,15.66963288,-93.19242885
"(7, 74)",2,2,2,0,0,2,CHIAPAS,REFORMA,7,74,V,V,7,CHIAPAS,74,REFORMA,2,0,0,2,2,2,17.86424401,-93.22938218
"(7, 77)",1,3,0,0,0,1,CHIAPAS,SALTO DE AGUA,7,77,V,V,7,CHIAPAS,77,SALTO DE AGUA,1,0,0,1,0,3,17.43770573,-92.18719998
"(7, 78)",8,19,3,0,0,8,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,7,78,V,V,7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,8,0,0,8,3,19,16.67831653,-92.58995302
"(7, 79)",0,1,0,0,0,0,CHIAPAS,SAN FERNANDO,7,79,V,V,7,CHIAPAS,79,SAN FERNANDO,0,0,0,0,0,1,16.91315953,-93.20968298
"(7, 86)",1,4,0,0,0,1,CHIAPAS,SUCHIAPA,7,86,V,V,7,CHIAPAS,86,SUCHIAPA,1,0,0,1,0,4,16.58556264,-93.13633115
"(7, 87)",0,1,0,0,0,0,CHIAPAS,SUCHIATE,7,87,V,V,7,CHIAPAS,87,SUCHIATE,0,0,0,0,0,1,14.63939697,-92.22711887
"(7, 89)",7,26,1,1,0,6,CHIAPAS,TAPACHULA,7,89,V,V,7,CHIAPAS,89,TAPACHULA,7,1,0,6,1,26,14.93415634,-92.30477392
"(7, 91)",1,0,0,0,0,1,CHIAPAS,TAPILULA,7,91,V,V,7,CHIAPAS,91,TAPILULA,1,0,0,1,0,0,17.25097064,-92.99727775
"(7, 92)",0,1,0,0,0,0,CHIAPAS,TECPATÁN,7,92,V,V,7,CHIAPAS,92,TECPATÁN,0,0,0,0,0,1,17.19830001,-93.53320334
"(7, 93)",0,1,0,0,0,0,CHIAPAS,TENEJAPA,7,93,V,V,7,CHIAPAS,93,TENEJAPA,0,0,0,0,0,1,16.83320396,-92.47200755
"(7, 94)",1,2,1,0,0,1,CHIAPAS,TEOPISCA,7,94,V,V,7,CHIAPAS,94,TEOPISCA,1,0,0,1,1,2,16.56111883,-92.5088101
"(7, 96)",1,0,0,0,0,1,CHIAPAS,TILA,7,96,V,V,7,CHIAPAS,96,TILA,1,0,0,1,0,0,17.37927181,-92.48583761
"(7, 97)",4,8,2,1,0,3,CHIAPAS,TONALÁ,7,97,V,V,7,CHIAPAS,97,TONALÁ,4,1,0,3,2,8,15.99708467,-93.69058159
"(7, 99)",0,3,1,0,0,0,CHIAPAS,LA TRINITARIA,7,99,V,V,7,CHIAPAS,99,LA TRINITARIA,0,0,0,0,1,3,16.0245063,-91.89937009
"(7, 100)",6,0,1,1,0,5,CHIAPAS,TUMBALÁ,7,100,V,V,7,CHIAPAS,100,TUMBALÁ,6,1,0,5,1,0,17.30080442,-92.26963239
"(7, 101)",30,145,22,0,0,30,CHIAPAS,TUXTLA GUTIÉRREZ,7,101,V,V,7,CHIAPAS,101,TUXTLA GUTIÉRREZ,30,0,0,30,22,145,16.73946404,-93.13728338
"(7, 102)",0,3,0,0,0,0,CHIAPAS,TUXTLA CHICO,7,102,V,V,7,CHIAPAS,102,TUXTLA CHICO,0,0,0,0,0,3,14.89412429,-92.19867573
"(7, 103)",0,0,1,0,0,0,CHIAPAS,TUZANTÁN,7,103,V,V,7,CHIAPAS,103,TUZANTÁN,0,0,0,0,1,0,15.14045743,-92.41156139
"(7, 104)",0,1,0,0,0,0,CHIAPAS,TZIMOL,7,104,V,V,7,CHIAPAS,104,TZIMOL,0,0,0,0,0,1,16.12412661,-92.24643761
"(7, 105)",0,0,1,0,0,0,CHIAPAS,UNIÓN JUÁREZ,7,105,V,V,7,CHIAPAS,105,UNIÓN JUÁREZ,0,0,0,0,1,0,15.05995773,-92.10254931
"(7, 106)",0,1,0,0,0,0,CHIAPAS,VENUSTIANO CARRANZA,7,106,V,V,7,CHIAPAS,106,VENUSTIANO CARRANZA,0,0,0,0,0,1,16.31736937,-92.60789179
"(7, 108)",1,3,2,0,0,1,CHIAPAS,VILLAFLORES,7,108,V,V,7,CHIAPAS,108,VILLAFLORES,1,0,0,1,2,3,16.34620451,-93.37515533
"(7, 109)",0,5,1,0,0,0,CHIAPAS,YAJALÓN,7,109,V,V,7,CHIAPAS,109,YAJALÓN,0,0,0,0,1,5,17.18556812,-92.32584203
"(7, 111)",0,1,0,0,0,0,CHIAPAS,ZINACANTÁN,7,111,V,V,7,CHIAPAS,111,ZINACANTÁN,0,0,0,0,0,1,16.72192379,-92.78198094
"(7, 113)",0,1,0,0,0,0,CHIAPAS,ALDAMA,7,113,V,V,7,CHIAPAS,113,ALDAMA,0,0,0,0,0,1,16.92183484,-92.69017699
"(7, 116)",0,0,1,0,0,0,CHIAPAS,MARQUÉS DE COMILLAS,7,116,V,V,7,CHIAPAS,116,MARQUÉS DE COMILLAS,0,0,0,0,1,0,16.2464155,-90.74340591
"(8, 1)",2,1,0,0,0,2,CHIHUAHUA,AHUMADA,8,1,V,V,8,CHIHUAHUA,1,AHUMADA,2,0,0,2,0,1,30.45132352,-106.3810846
